Suburb,Month,Year,Property Type,Count,Total_Price,Median
Albert Park-Middle Park-West St Kilda,Dec,2000,flat,700.0,152126.0,217.32285714285715
Albert Park-Middle Park-West St Kilda,Dec,2000,house,274.0,98998.0,361.3065693430657
Albert Park-Middle Park-West St Kilda,Dec,2000,Other properties,204.0,72826.0,356.9901960784314
Albert Park-Middle Park-West St Kilda,Dec,2001,flat,768.0,183210.0,238.5546875
Albert Park-Middle Park-West St Kilda,Dec,2001,house,311.0,123771.0,397.9774919614148
Albert Park-Middle Park-West St Kilda,Dec,2001,Other properties,214.0,67989.0,317.7056074766355
Albert Park-Middle Park-West St Kilda,Dec,2003,flat,1634.0,412385.0,252.37760097919215
Albert Park-Middle Park-West St Kilda,Dec,2003,house,634.0,251830.0,397.20820189274446
Albert Park-Middle Park-West St Kilda,Dec,2003,Other properties,443.0,142685.0,322.0880361173815
Albert Park-Middle Park-West St Kilda,Dec,2004,flat,718.0,186525.0,259.7841225626741
Albert Park-Middle Park-West St Kilda,Dec,2004,house,244.0,101870.0,417.5
Albert Park-Middle Park-West St Kilda,Dec,2004,Other properties,274.0,82405.0,300.74817518248176
Albert Park-Middle Park-West St Kilda,Dec,2005,flat,772.0,204140.0,264.4300518134715
Albert Park-Middle Park-West St Kilda,Dec,2005,house,225.0,96360.0,428.26666666666665
Albert Park-Middle Park-West St Kilda,Dec,2005,Other properties,231.0,67900.0,293.93939393939394
Albert Park-Middle Park-West St Kilda,Dec,2006,flat,508.0,132860.0,261.53543307086613
Albert Park-Middle Park-West St Kilda,Dec,2006,house,180.0,85390.0,474.3888888888889
Albert Park-Middle Park-West St Kilda,Dec,2006,Other properties,221.0,77175.0,349.2081447963801
Albert Park-Middle Park-West St Kilda,Dec,2007,flat,433.0,130190.0,300.6697459584296
Albert Park-Middle Park-West St Kilda,Dec,2007,house,193.0,94210.0,488.13471502590676
Albert Park-Middle Park-West St Kilda,Dec,2007,Other properties,242.0,105440.0,435.702479338843
Albert Park-Middle Park-West St Kilda,Dec,2008,flat,514.0,174020.0,338.5603112840467
Albert Park-Middle Park-West St Kilda,Dec,2008,house,198.0,114461.0,578.0858585858585
Albert Park-Middle Park-West St Kilda,Dec,2008,Other properties,224.0,85919.0,383.5669642857143
Albert Park-Middle Park-West St Kilda,Dec,2009,flat,503.0,175025.0,347.96222664015903
Albert Park-Middle Park-West St Kilda,Dec,2009,house,221.0,136200.0,616.289592760181
Albert Park-Middle Park-West St Kilda,Dec,2009,Other properties,205.0,78955.0,385.1463414634146
Albert Park-Middle Park-West St Kilda,Dec,2010,flat,544.0,196920.0,361.9852941176471
Albert Park-Middle Park-West St Kilda,Dec,2010,house,204.0,135289.0,663.1813725490196
Albert Park-Middle Park-West St Kilda,Dec,2010,Other properties,213.0,95436.0,448.056338028169
Albert Park-Middle Park-West St Kilda,Dec,2011,flat,532.0,202145.0,379.9718045112782
