Year,Year ending,Police Region,LocalGovernmentArea,Offence Count,"Rate per 100,000 population"
2024,March,1 North West Metro,Banyule,"8,438","6,339.30"
2024,March,1 North West Metro,Brimbank,"17,221","8,689.90"
2024,March,1 North West Metro,Darebin,"13,917","8,731.00"
2024,March,1 North West Metro,Hobsons Bay,"5,968","6,288.10"
2024,March,1 North West Metro,Hume,"19,215","7,105.80"
2024,March,1 North West Metro,Maribyrnong,"10,102","10,759.70"
2024,March,1 North West Metro,Melbourne,"38,583","19,932.20"
2024,March,1 North West Metro,Melton,"13,227","6,157.60"
2024,March,1 North West Metro,Merri-bek,"12,987","6,884.00"
2024,March,1 North West Metro,Moonee Valley,"8,453","6,471.60"
2024,March,1 North West Metro,Nillumbik,"1,845","2,915.60"
2024,March,1 North West Metro,Whittlesea,"13,792","5,488.10"
2024,March,1 North West Metro,Wyndham,"18,838","5,597.70"
2024,March,1 North West Metro,Yarra,"13,087","13,027.00"
2024,March,1 North West Metro,Total,"195,673","8,055.30"
2024,March,2 Eastern,Alpine,540,"4,093.20"
2024,March,2 Eastern,BassCoast,"3,095","7,138.80"
2024,March,2 Eastern,Baw Baw,"4,676","7,638.70"
2024,March,2 Eastern,Benalla,"1,586","10,858.90"
2024,March,2 Eastern,Boroondara,"7,735","4,343.90"
2024,March,2 Eastern,East Gippsland,"5,421","10,977.20"
2024,March,2 Eastern,Greater Shepparton,"8,729","12,576.40"
2024,March,2 Eastern,Indigo,646,"3,628.20"
2024,March,2 Eastern,Knox,"10,256","6,292.50"
2024,March,2 Eastern,Latrobe,"11,974","15,239.00"
2024,March,2 Eastern,Manningham,"4,936","3,743.60"
2024,March,2 Eastern,Mansfield,609,"5,684.30"
2024,March,2 Eastern,Maroondah,"7,665","6,451.30"
2024,March,2 Eastern,Mitchell,"4,570","8,168.20"
2024,March,2 Eastern,Moira,"2,660","8,564.00"
2024,March,2 Eastern,Monash,"13,815","6,572.60"
2024,March,2 Eastern,Murrindindi,778,"4,997.20"
2024,March,2 Eastern,South Gippsland,"2,224","7,182.70"
2024,March,2 Eastern,Strathbogie,567,"4,886.10"
2024,March,2 Eastern,Towong,302,"4,804.20"
2024,March,2 Eastern,Wangaratta,"2,733","9,079.20"
2024,March,2 Eastern,Wellington,"4,869","10,478.60"
2024,March,2 Eastern,Whitehorse,"10,103","5,552.20"
2024,March,2 Eastern,Wodonga,"4,547","10,168.60"
2024,March,2 Eastern,Yarra Ranges,"6,984","4,376.80"
2024,March,2 Eastern,Total,"122,020","6,876.70"
2024,March,3 Southern Metro,Bayside,"5,462","5,085.10"
