SA2 name,Growth > 1 & Pop > 7000 in 2023,,2018,2019,2020,2021,2022,2023,5 yrs Growth Rate,Population > 7000 in 2023
Alfredton,TRUE,,13537,14434,15507,16841,18002,18997,1.403338997,TRUE
Ballarat,FALSE,,12244,12320,12196,12071,11938,11809,0.964472395,TRUE
Buninyong,FALSE,,7418,7458,7377,7229,7247,7323,0.987193314,TRUE
Delacombe,TRUE,,8183,8890,9755,10648,11798,12869,1.572650617,TRUE
Smythes Creek,FALSE,,4042,4112,4152,4211,4223,4268,1.055912914,FALSE
Wendouree - Miners Rest,TRUE,,15067,15174,15261,15312,15388,15431,1.024158758,TRUE
Ballarat East - Warrenheip,TRUE,,9536,9632,9650,9654,9641,9628,1.009647651,TRUE
Ballarat North - Invermay,TRUE,,14516,14632,14687,14701,14892,15015,1.034375861,TRUE
Canadian - Mount Clear,TRUE,,12003,12139,12195,12206,12395,12433,1.035824377,TRUE
Sebastopol - Redan,FALSE,,13281,13291,13234,13062,12960,12885,0.970182968,TRUE
Bacchus Marsh Surrounds,FALSE,,6222,6350,6466,6533,6541,6639,1.067020251,FALSE
Creswick - Clunes,TRUE,,7962,7992,8031,8041,7969,7987,1.003139915,TRUE
Daylesford,TRUE,,9389,9548,9729,9874,10003,10085,1.0741293,TRUE
Gordon ,FALSE,,5996,6122,6247,6340,6379,6408,1.068712475,FALSE
Avoca,FALSE,,3393,3422,3447,3501,3542,3594,1.059239611,FALSE
Beaufort,FALSE,,4448,4543,4606,4621,4612,4709,1.058678058,FALSE
Golden Plains - North,FALSE,,4692,4784,4832,4869,4894,4940,1.052855925,FALSE
Maryborough ,TRUE,,8139,8155,8128,8118,8172,8154,1.001842978,TRUE
Maryborough Surrounds,FALSE,,5398,5401,5383,5479,5565,5644,1.045572434,FALSE
Bendigo,FALSE,,14941,15072,15087,14955,14748,14625,0.978850144,TRUE
California Gully - Eaglehawk,TRUE,,12468,12631,12800,12932,13102,13310,1.067532884,TRUE
East Bendigo - Kennington,TRUE,,13838,13898,13808,13930,13890,13974,1.00982801,TRUE
Flora Hill - Spring Gully,FALSE,,9525,9547,9574,9419,9383,9460,0.993175853,TRUE
Kangaroo Flat - Golden Square,TRUE,,20442,20718,20938,21071,21201,21258,1.039917816,TRUE
Maiden Gully,FALSE,,5322,5364,5465,5502,5614,5749,1.080232995,FALSE
Strathfieldsaye,TRUE,,9483,9901,10312,10679,11027,11271,1.188547928,TRUE
White Hills - Ascot,TRUE,,12996,13580,14039,14452,14906,15236,1.172360726,TRUE
Bendigo Surrounds - South,TRUE,,7797,7926,8158,8311,8574,8808,1.129665256,TRUE
Castlemaine,TRUE,,11015,11146,11277,11291,11347,11495,1.043576941,TRUE
Castlemaine Surrounds,TRUE,,8782,8858,8974,9147,9298,9397,1.070029606,TRUE
Heathcote,FALSE,,4695,4790,4902,5026,5157,5261,1.120553781,FALSE
Kyneton,TRUE,,10070,10219,10371,10499,10562,10571,1.049751738,TRUE
Woodend,TRUE,,7406,7594,7712,7911,7992,8044,1.086146368,TRUE
Bendigo Surrounds - North,FALSE,,4615,4711,4799,4908,5022,5154,1.116793066,FALSE
Loddon,TRUE,,7137,7165,7190,7233,7274,7256,1.016673672,TRUE
Bannockburn,TRUE,,7130,7362,7608,7738,7958,8143,1.142075736,TRUE
Golden Plains - South,TRUE,,7327,7552,7774,8074,8246,8467,1.155588918,TRUE
Winchelsea,FALSE,,5995,6152,6358,6585,6675,6781,1.131109258,FALSE
Belmont,TRUE,,14754,14975,15096,15000,14949,14993,1.016198997,TRUE
Geelong,TRUE,,13337,13439,13498,13487,13543,13649,1.023393567,TRUE
Geelong West - Hamlyn Heights,TRUE,,20511,20809,21145,21255,21377,21846,1.065087026,TRUE
Highton,TRUE,,23463,23807,23858,24091,24593,25142,1.071559477,TRUE
Lara,TRUE,,19778,20283,20575,20859,21365,22090,1.116897563,TRUE
Leopold,TRUE,,13411,13319,13279,13220,13330,13516,1.007829394,TRUE
Newcomb - Moolap,TRUE,,15156,15417,15478,15410,15291,15197,1.002705199,TRUE
Newtown ,FALSE,,10607,10624,10555,10408,10305,10362,0.976902046,TRUE
North Geelong - Bell Park,TRUE,,15484,15851,15848,15741,15721,15718,1.015112374,TRUE
Charlemont,TRUE,,6042,7363,8832,10329,11863,12731,2.107083747,TRUE
Corio - Lovely Banks,FALSE,,18457,18558,18587,18356,18254,18401,0.996965921,TRUE
Grovedale - Mount Duneed,TRUE,,22111,22905,23903,24827,25830,26663,1.205870381,TRUE
Norlane,FALSE,,9023,9060,9070,9040,8951,8950,0.991909564,TRUE
Clifton Springs,TRUE,,14763,15580,16143,16729,17118,17514,1.186344239,TRUE
Lorne - Anglesea,FALSE,,5524,5679,5892,6192,6273,6215,1.125090514,FALSE
Portarlington,TRUE,,8092,8417,8886,9460,9928,10282,1.270637667,TRUE
Point Lonsdale - Queenscliff,FALSE,,4592,4780,5123,5459,5595,5725,1.246733449,FALSE
Torquay,TRUE,,20996,22149,23346,24636,25466,26034,1.239950467,TRUE
Barwon Heads - Armstrong Creek,TRUE,,9340,10023,10708,11326,12202,13295,1.423447537,TRUE
Ocean Grove,TRUE,,17430,18117,18766,19393,19850,20220,1.160068847,TRUE
Alexandra,FALSE,,6646,6687,6690,6771,6794,6836,1.028588625,FALSE
Euroa,FALSE,,6548,6660,6777,6866,6884,6862,1.047953574,FALSE
