STOP_NAME,longitude,latitude
134-Merribell Ave/Nicholson St (Coburg),144.97773391203575,-37.74434586492023
44-Deepdene Park/Whitehorse Rd (Balwyn),145.06867708655787,-37.81136186490553
45-Hardwicke St/Whitehorse Rd (Balwyn),145.0717910869284,-37.81173689524114
46-Balwyn Cinema/Whitehorse Rd (Balwyn),145.0759357654567,-37.81222883598729
47-Balwyn Rd/Whitehorse Rd (Balwyn),145.08152980324178,-37.81290581700616
48-Balwyn Shopping Centre/Whitehorse Rd (Balwyn),145.08379384226643,-37.81318589742294
49-Northcote Ave/Whitehorse Rd (Balwyn),145.08796192881778,-37.81367684779472
51-Narrak Rd/Whitehorse Rd (Mont Albert),145.09517598691704,-37.814550838014966
134-Orrong Rd/Toorak Rd (Toorak),145.0140539388447,-37.841741806362904
135-Woorigoleen Rd/Toorak Rd (Toorak),145.01758877803425,-37.84215283792306
136-Irving Rd/Toorak Rd (Toorak),145.02009185761924,-37.84244785902839
137-Kooyong Rd/Toorak Rd (Toorak),145.02307085733221,-37.84283081035521
138-Moonga Rd/Toorak Rd (Toorak),145.02625397492187,-37.84321781120693
139-Glenbervie Rd/Toorak Rd (Toorak),145.02982300758507,-37.84360184109596
112-Lygon St/Elgin St (Carlton),144.9671650225355,-37.79709981913103
113-Lytton St/Lygon St (Carlton),144.96803082358974,-37.79411379947282
114-Princes St/Lygon St (Carlton North),144.96827490391874,-37.79267586954958
115-Melbourne Cemetery/Lygon St (Carlton North),144.9688030246424,-37.78956681963369
116-Fenwick St/Lygon St (Carlton North),144.96919182518155,-37.78735686962483
117-Richardson St/Lygon St (Carlton North),144.96973794688685,-37.78402281918234
118-Pigdon St/Lygon St (Carlton North),144.9700799493163,-37.78191087837822
26-Alfred Hospital/Commercial Rd (South Yarra),144.98223104223229,-37.845264850719765
27-Punt Rd/Commercial Rd (South Yarra),144.9848691251104,-37.84561684149318
28-Braille Library/Commercial Rd (South Yarra),144.987419007554,-37.84588585216821
29-Porter St/Commercial Rd (South Yarra),144.9905888098515,-37.84630084294194
30-Prahran Market/Commercial Rd (South Yarra),144.9922768507662,-37.84652782331598
31-Chapel St/Commercial Rd (South Yarra),144.9940210515517,-37.846746883675294
32-Surrey Rd/Malvern Rd (South Yarra),144.99781292406536,-37.84727986423819
33-Francis St/Malvern Rd (South Yarra),145.0004398371686,-37.847639864607196
34-Williams Rd/Malvern Rd (South Yarra),145.00305595065348,-37.847990864992376
35-Mathoura Rd/Malvern Rd (Toorak),145.00669086216527,-37.84846687555585
36-A'Beckett St/Malvern Rd (Toorak),145.0099978149643,-37.84890985609626
37-Orrong Rd/Malvern Rd (Toorak),145.01208185453262,-37.849179856760806
38-Clendon Rd/Malvern Rd (Toorak),145.0153657738721,-37.84960483776878
39-Irving Rd/Malvern Rd (Toorak),145.01868497319214,-37.85003881873574
40-Kooyong Rd/Malvern Rd (Toorak),145.02131189263935,-37.8503898194627
41-Albany Rd/Malvern Rd (Toorak),145.02396185206948,-37.850749820160885
42-Lauriston Girls School/Malvern Rd (Toorak),145.0261470504361,-37.85103881036717
43-Glenferrie Rd/Malvern Rd (Toorak),145.02987304644904,-37.85153381021319
44-Plant St/Malvern Rd (Malvern),145.03250104421647,-37.851883820144124
45-Elizabeth St/Malvern Rd (Malvern),145.03530976234512,-37.85224589010763
46-Meredith St/Malvern Rd (Malvern),145.03923988066126,-37.8527708601176
47-Tooronga Rd/Malvern Rd (Malvern),145.04199280207135,-37.85311484036203
48-Edgar St/Malvern Rd (Malvern),145.04556076435662,-37.85354288073956
49-Kenilworth Gr/Malvern Rd (Malvern),145.0483259256071,-37.853886860992944
50-Burke Rd/Malvern Rd (Malvern),145.0514968064457,-37.85430887123632
51-Gardiner Railway Station/Burke Rd (Hawthorn East),145.05268300757308,-37.852840881668314
52-Harris Ave/Burke Rd (Hawthorn East),145.05304804992724,-37.849764862400974
53-Faircroft Ave/Burke Rd (Hawthorn East),145.05339797165828,-37.84815782283233
54-Toorak Rd/Burke Rd (Glen Iris),145.05388001464692,-37.84578686349692
