age_distribution,agency,area,bathrooms,bedrooms,geo,location,nbn_type,nearby_schools,parking,price,property_type
"{'under 20': '16%', '20 - 39': '21%', '40 - 59': '23%', '60+': '41%'}","{'id': 4450, 'name': 'Marshall White Stonnington'}",Not available,1,2,"{'latitude': -37.8350551, 'longitude': 145.0120389}","{'streetAddress': '6/52 Grange Road', 'addressLocality': 'Toorak', 'addressRegion': 'VIC', 'postalCode': '3142'}",HFC,"['Prahran High School', 'SEDA College (Victoria) - FFV Burnley', 'Kamaruka', 'Melbourne Girls College', 'SEDA College (Victoria) - Netball Burnley', 'Geelong Grammar School - Toorak campus', ""St Kevin's College - Glendalough"", 'Richmond High School-Gleadell Street Campus', 'SEDA College (Victoria) - FFV Burnley 2', ""St Catherine's School"", ""St Kevin's College"", 'Kamaruka - Primary Campus', 'Toorak Primary School', 'Southern Autistic School', ""Strathcona Baptist Girls' Grammar - Hawthorn Campus"", 'Port Phillip Specialist School']",1,$600.00,Apartment
"{'under 20': '15%', '20 - 39': '38%', '40 - 59': '31%', '60+': '16%'}","{'id': 22398, 'name': 'Melbourne Residential Real Estate'}",Not available,1,1,"{'latitude': -37.8475988, 'longitude': 144.9792431}","{'streetAddress': '202/572 St Kilda Road', 'addressLocality': 'Melbourne', 'addressRegion': 'VIC', 'postalCode': '3004'}",,"['South Yarra Primary School', 'Prahran High School', 'Hester Hornbrook Academy - Prahran Campus', 'SEDA College (Victoria) - Sailing - Albert Park', 'Youth2Industry College', 'SEDA College (Victoria) - MSAC Function Room', 'Melbourne Grammar School', 'Wesley College', 'Wesley College - St Kilda Road Junior Campus', 'Melbourne Girls Grammar', 'Melbourne Grammar School - Wadhurst Campus', 'Christ Church Grammar School', 'Port Phillip Specialist School']",0,$550 per week,Apartment
"{'under 20': '16%', '20 - 39': '39%', '40 - 59': '17%', '60+': '28%'}","{'id': 4450, 'name': 'Marshall White Stonnington'}",Not available,1,3,"{'latitude': -37.84506409999999, 'longitude': 145.0118834}","{'streetAddress': '20/24 Springfield Avenue', 'addressLocality': 'Toorak', 'addressRegion': 'VIC', 'postalCode': '3142'}",HFC,"['Prahran High School', ""Lauriston Girls' School"", ""Lauriston Girls' School - Blairholme Campus"", 'Kamaruka', 'Melbourne Girls College', 'Loreto Mandeville Hall', 'Geelong Grammar School - Toorak campus', 'The King David School', ""St Catherine's School"", 'The King David School - The Rebecca Magid Centre', 'Our Lady of Lourdes School', 'Kamaruka - Primary Campus', 'Toorak Primary School', 'Southern Autistic School', 'Port Phillip Specialist School']",1,$925.00,Apartment
{},"{'id': 27202, 'name': 'Victoria Real Estate Agency Pty Ltd'}",Not available,2,4,"{'latitude': -37.89191, 'longitude': 144.585974}","{'streetAddress': '16 Tolkien Drive', 'addressLocality': 'Mambourin', 'addressRegion': 'VIC', 'postalCode': '3024'}",,"['Manor Lakes P-12 College', 'Christway College - Wyndham', 'Our Lady of the Southern Cross', 'Wyndham Vale Primary School', ""St Joseph's Catholic Primary School"", 'Walcom Ngarrwa Secondary College', 'Laa Yulta Primary School']",2,$470 PER WEEK,House
"{'under 20': '30%', '20 - 39': '25%', '40 - 59': '27%', '60+': '18%'}","{'id': 18650, 'name': 'Kay & Burton Boroondara'}",Not available,3,4,"{'latitude': -37.8333697, 'longitude': 145.1100698}","{'streetAddress': '20 Oak Street', 'addressLocality': 'Surrey Hills', 'addressRegion': 'VIC', 'postalCode': '3127'}",HFC,"['Mount Scopus Memorial College', 'Emmaus College - Burwood Campus', 'Siena College Ltd', 'Our Holy Redeemer School', 'Box Hill High School', 'Our Lady of Sion College', ""St Dominic's School"", 'Bulleen Heights School-Manningham Road Campus', 'Box Hill Senior Secondary College', ""Presbyterian Ladies' College"", 'Kingswood College', ""St Benedict's School"", 'Bulleen Heights School', 'Surrey Hills Primary School', 'Our Lady of Perpetual Succour School']",2,$1400 Per Week,House
"{'under 20': '13%', '20 - 39': '56%', '40 - 59': '20%', '60+': '10%'}","{'id': 26354, 'name': '   Gary Peer'}",Not available,1,1,"{'latitude': -37.8870547, 'longitude': 145.0551269}","{'streetAddress': '11/7 Truganini Road', 'addressLocality': 'Carnegie', 'addressRegion': 'VIC', 'postalCode': '3163'}",HFC,"['The Currajong School', ""St Mary's School"", 'Mount Scopus Memorial College - Fink Karp Ivany Campus', 'Kilvington Grammar School', ""St Patrick's School"", 'Carnegie Primary School', 'Melbourne Montessori School - Grange Road Campus', ""St Kevin's School"", 'Glen Eira College', 'De La Salle College - Holy Eucharist Campus', 'Yesodei HaTorah College - Brighton Campus', 'Southern Autistic School', ""St Anthony's School"", 'Port Phillip Specialist School']",1,$375 weekly,Apartment
"{'under 20': '12%', '20 - 39': '30%', '40 - 59': '17%', '60+': '42%'}","{'id': 31782, 'name': 'HEDLEY REAL ESTATE'}",Not available,2,2,"{'latitude': -37.8436093, 'longitude': 145.0317836}","{'streetAddress': '202/687 Toorak Rd', 'addressLocality': 'Kooyong', 'addressRegion': 'VIC', 'postalCode': '3144'}",HFC,"['Auburn South Primary School', 'Auburn High School', 'Bialik College', ""Lauriston Girls' School - Blairholme Campus"", ""Lauriston Girls' School"", 'Alia College', 'De La Salle College - Kinnoull Campus', 'SEDA College (Victoria) - Hawthorn Talented Player Program (TPP)', 'Scotch College', ""St Catherine's School"", ""St Kevin's College"", 'The King David School - The Rebecca Magid Centre', 'Southern Autistic School', 'Port Phillip Specialist School']",1,$600 weekly,Apartment
"{'under 20': '11%', '20 - 39': '57%', '40 - 59': '23%', '60+': '9%'}","{'id': 6525, 'name': ' Jellis Craig & Company Pty Ltd'}",Not available,1,2,"{'latitude': -37.8496561, 'longitude': 145.0466169}","{'streetAddress': '6/68 Edgar Street North', 'addressLocality': 'Glen Iris', 'addressRegion': 'VIC', 'postalCode': '3146'}",,"['Auburn High School', 'Auburn South Primary School', 'Bialik College', 'De La Salle College - Kinnoull Campus', ""St Joseph's School"", 'De La Salle College', ""St Roch's School"", ""Korowa Anglican Girls' School"", ""St Cecilia's School"", 'Sacre Coeur', 'Caulfield Grammar School - Malvern Campus', 'Port Phillip Specialist School', 'Southern Autistic School', 'Alia College']",1,$550.00,Apartment
"{'under 20': '29%', '20 - 39': '29%', '40 - 59': '31%', '60+': '12%'}","{'id': 8551, 'name': 'Motion Property'}",Not available,2,2,"{'latitude': -37.75751109999999, 'longitude': 144.7904877}","{'streetAddress': '517/93 Furlong Road', 'addressLocality': 'Cairnlea', 'addressRegion': 'VIC', 'postalCode': '3023'}",,"['Sacred Heart School', 'SEDA College (Victoria) - Melbourne City Sports Development Program - Cairnlea', 'Catholic Regional College St Albans', 'Resurrection School', 'Holy Eucharist School', 'St Peter Chanel School', 'Jackson School', 'SEDA College (Victoria) - Building and Construction -  Deer Park', 'Marian College', 'Mother of God School', 'Furlong Park School For Deaf Children', 'Cairnlea Park Primary School', 'Sirius College - Ibrahim Dellal Campus', 'St Albans Secondary College']",1,$525 per week,Apartment
"{'under 20': '21%', '20 - 39': '33%', '40 - 59': '20%', '60+': '27%'}","{'id': 28347, 'name': 'Buxton Camberwell'}",Not available,2,3,"{'latitude': -37.8708972, 'longitude': 145.1057225}","{'streetAddress': '3 Station Avenue', 'addressLocality': 'Ashwood', 'addressRegion': 'VIC', 'postalCode': '3147'}",HFC,"['Berengarra School - Caf� Education', 'Avila College', 'Holy Family School', 'Frank Dando Sports Academy', 'Parkhill Primary School', 'Bulleen Heights School-Manningham Road Campus', 'Salesian College Chadstone', ""St Michael's School"", 'Ashwood High School', 'Berengarra School - Chadstone Campus', ""Presbyterian Ladies' College"", ""St Benedict's School"", 'Bulleen Heights School', 'Ashwood School', ""St Mary Magdalen's School""]",2,$700.00,House
