Station,Suburb
Aircraft,Aircraft railway station
Alamein,Alamein line
Albion,"Albion railway station, Melbourne"
Alphington,Alphington railway station
Altona,Altona railway station
Anstey,Anstey railway station
Armadale,"Armadale railway station, Melbourne"
Ascot Vale,Ascot Vale railway station
Ashburton,"Ashburton railway station, Melbourne"
Aspendale,Aspendale railway station
Auburn,"Auburn railway station, Melbourne"
Balaclava,"Balaclava railway station, Melbourne"
Batman,Batman railway station
Baxter,Baxter railway station
Bayswater,"Bayswater railway station, Melbourne"
Beaconsfield,"Beaconsfield railway station, Melbourne"
Belgrave,Belgrave railway station
Bell,"Bell railway station, Melbourne"
Bentleigh,Bentleigh railway station
Berwick,"Berwick railway station, Melbourne"
Bittern,Bittern railway station
Blackburn,"Blackburn railway station, Melbourne"
Bonbeach,Frankston line
Boronia,Boronia railway station
Box Hill,"Box Hill railway station, Melbourne"
Brighton Beach,Brighton Beach railway station
Broadmeadows,"Broadmeadows railway station, Melbourne"
Brunswick,Anstey railway station
Burnley,Burnley railway station
Burwood,"Burwood railway station, Melbourne"
Camberwell,"Camberwell railway station, Melbourne"
Canterbury,"Canterbury railway station, Melbourne"
Cardinia Road,"Cardinia Road railway station, Melbourne"
Carnegie,"Carnegie railway station, Melbourne"
Carrum,Carrum railway station
Caulfield,Anstey railway station
Chatham,Belgrave line
Chelsea,"Chelsea railway station, Melbourne"
Cheltenham,"Cheltenham railway station, Melbourne"
Clayton,"Clayton railway station, Melbourne"
Clifton Hill,Clifton Hill railway station
Coburg,Coburg railway station
Collingwood,Collingwood railway station
Coolaroo,Coolaroo railway station
Craigieburn,Craigieburn railway station
Cranbourne,Cranbourne railway station
Crib Point,Crib Point railway station
Croxton,Croxton railway station
Croydon,"Croydon railway station, Melbourne"
Dandenong,Dandenong railway station
Darebin,Darebin railway station
Darling,Darling railway station
Dennis,Dennis railway station
Diamond Creek,Diamond Creek railway station
Diggers Rest,Diggers Rest railway station
Eaglemont,Hurstbridge line
East Camberwell,Belgrave line
East Malvern,East Malvern railway station
East Richmond,"East Richmond railway station, Melbourne"
East Pakenham,Pakenham line
Edithvale,Edithvale railway station
Elsternwick,"Elsternwick railway station, Melbourne"
Eltham,"Eltham railway station, Melbourne"
Epping,"Epping railway station, Melbourne"
Essendon,"Essendon railway station, Melbourne"
Fairfield,"Fairfield railway station, Melbourne"
Fawkner,Fawkner railway station
Ferntree Gully,Ferntree Gully railway station
Flagstaff,Flagstaff railway station
Flemington Bridge,"Flemington Bridge railway station, Melbourne"
Flemington Racecourse,Flemington Racecourse line
Flinders Street,"Flinders Street railway station, Melbourne"
Footscray,Footscray railway station
Frankston,Frankston railway station
Gardenvale,Gardenvale railway station
Gardiner,Gardiner railway station
Ginifer,Ginifer railway station
Glen Huntly,Glen Huntly railway station
Glen Iris,Glen Iris railway station
Glen Waverley,Glen Waverley railway station
Glenbervie,Craigieburn line
Glenferrie,Glenferrie railway station
Glenroy,Glenroy railway station
Gowrie,Gowrie railway station
Greensborough,Greensborough railway station
Hallam,Hallam railway station
Hampton,"Hampton railway station, Melbourne"
Hartwell,Alamein line
Hastings,"Hastings railway station, Melbourne"
Hawksburn,Frankston line
Hawkstowe,Hawkstowe railway station
Hawthorn,"Hawthorn railway station, Melbourne"
Heatherdale,Heatherdale railway station
Heathmont,Heathmont railway station
Heidelberg,Heidelberg railway station
Heyington,Glen Waverley line
Highett,Highett railway station
Holmesglen,Holmesglen railway station
Hoppers Crossing,Hoppers Crossing railway station
Hughesdale,Hughsdale Crossing railway station
Huntingdale,Huntingdale railway station
Hurstbridge,Hurstbridge railway station
Ivanhoe,"Ivanhoe railway station, Melbourne"
Jacana,Craigieburn line
Jewell,Jewell railway station
Jolimont,Jolimont railway station
Jordanville,Jordanville railway station
Kananook,Kananook railway station
Keilor Plains,Keilor Plains railway station
Kensington,"Kensington railway station, Melbourne"
Keon Park,Keon Park railway station
Kooyong,Kooyong railway station
Laburnum,Laburnum railway station
Lalor,Lalor railway station
Laverton,"Laverton railway station, Melbourne"
Leawarra,Leawarra railway station
Lilydale,Lilydale railway station
Lynbrook,Lynbrook railway station
Macaulay,Macauly railway station
Macleod,Macleod railway station
Malvern,"Malvern railway station, Melbourne"
McKinnon,McKinnon railway station
Melbourne Central,Melbourne Central railway station
Mentone,Mentone railway station
Merinda Park,Merinda Park railway station
Merlynston,Merlynston Park railway station
Mernda,Mernda railway station
Merri,Merri railway station
Middle Brighton,Middle Brighton railway station
Middle Footscray,Middle Footscray railway station
Middle Gorge,Middle Gorge railway station
Mitcham,"Mitcham railway station, Melbourne"
Montmorency,Hurstbridge line
Moonee Ponds,Moonnee Ponds railway station
Moorabbin,Moorabbin railway station
Mooroolbark,Mooroolbark railway station
Mordialloc,Mordialloc railway station
Moreland,Moreland railway station
Morradoo,Morradoo railway station
Mount Waverley,Mount Waverley railway station
Murrumbeena,Murrumbeena railway station
Narre Warren,Narre Warren railway station
Newmarket,"Newmarket railway station, Melbourne"
Newport,"Newport railway station, Melbourne"
Noble Park,Noble Park railway station
North Brighton,North Brighton railway station
North Melbourne,North Melbourne railway station
North Richmond,Anstey railway station
North Williamstown,North Williamstown railway station
Northcote,Anstey railway station
Nunawading,Nunawading railway station
Oak Park,Craigieburn line
Oakleigh,Oakleigh railway station
Officer,Pakenham line
Ormond,Ormond railway station
Pakenham,Pakenham railway station
Parkdale,Parkdale railway station
Parliament,Parliament railway station
Pascoe Vale,Pascoe Vale railway station
Patterson,Frankston line
Prahran,Prahran railway station
Preston,"Preston railway station, Melbourne"
Regent,Regent railway station
Reservoir,Reservoir railway station
Richmond,"Richmond railway station, Melbourne"
Ringwood,"Ringwood railway station, Melbourne"
Ringwood East,Ringwood East railway station
Ripponlea,Ripponlea railway station
Riversdale,Riversdale railway station
Rosanna,Rosanna railway station
Roxburgh Park,Roxburgh railway station
Royal Park,Royal Park railway station
Rushall,Rushall railway station
Ruthven,Ruthven railway station
Sandown Park,Cranbourne line
Sandringham,Sandringham railway station
Seaford,"Seaford railway station, Melbourne"
Seaholme,"Sealholme railway station, Melbourne"
Seddon,Werribee line
Showgrounds,"Showgrounds railway station, Melbourne"
Somerville,"Somerville railway station, Melbourne"
South Kensington,Werribee line
South Morang,"South Morang railway station, Melbourne"
South Yarra,South Yarra railway station
Southern Cross,Southern Cross railway station
Southland,Frankston line
Spotswood,Werribee line
Springvale,Springvale railway station
St Albans,"St Albans railway station, Melbourne"
Stony Point,Stony Point railway station
Strathmore,Strathmore railway station
Sunbury,"Sunbury railway station, Melbourne"
Sunshine,"Sunshine railway station, Melbourne"
Syndal,Syndal railway station
Tecoma,Tecoma railway station
Thomastown,"Thomastown railway station, Melbourne"
Thornbury,"Thornbury railway station, Melbourne"
Toorak,Anstey railway station
Tooronga,"Tooronga railway station, Melbourne"
Tottenham,Sunbury line
Tyabb,Tyabb railway station
Union,"Union railway station, Melbourne"
Upfield,Upfield railway station
Upper Ferntree Gully,Upper Ferntree Gully railway station
Upwey,"Upwey railway station, Melbourne"
Victoria Park,"Victoria Park railway station, Melbourne"
Watergardens,Watergardens railway station
Watsonia,Watsonia railway station
Wattle Glen,Wattle Glen railway station
Werribee,Werribee railway station
West Footscray,West Footscray railway station
West Richmond,West Richmond railway station
Westall,Westall railway station
Westgarth,Anstey railway station
Westona,Westona railway station
Williams Landing,Williams Landing railway station
Williamstown,Williamstown railway station
Williamstown Beach,"Williamstown, Victoria"
Willison,Alamein line
Windsor,"Windsor railway station, Melbourne"
Yarraman,Yarraman railway station
Yarraville,Yarraville railway station
