LGA,Postcode
Alpine,3678
Alpine,3691
Alpine,3695
Alpine,3697
Alpine,3698
Alpine,3699
Alpine,3701
Alpine,3735
Alpine,3737
Alpine,3739
Alpine,3740
Alpine,3741
Alpine,3744
Alpine,3747
Alpine,3749
Alpine,3858
Alpine,3862
Alpine,3898
Alpine,3900
Ararat,3272
Ararat,3274
Ararat,3293
Ararat,3294
Ararat,3325
Ararat,3351
Ararat,3361
Ararat,3373
Ararat,3374
Ararat,3375
Ararat,3377
Ararat,3378
Ararat,3379
Ararat,3381
Ararat,3384
Ararat,3469
Ballarat,3334
Ballarat,3350
Ballarat,3351
Ballarat,3352
Ballarat,3355
Ballarat,3356
Ballarat,3357
Ballarat,3363
Ballarat,3364
Ballarat,3370
Banyule,3071
Banyule,3072
Banyule,3073
Banyule,3078
Banyule,3079
Banyule,3081
Banyule,3083
Banyule,3084
Banyule,3085
Banyule,3086
Banyule,3087
Banyule,3088
Banyule,3089
Banyule,3093
Banyule,3094
Banyule,3095
Banyule,3102
Banyule,3104
Banyule,3105
Banyule,3106
Banyule,3107
Bass Coast,3922
Bass Coast,3923
Bass Coast,3925
Bass Coast,3945
Bass Coast,3951
Bass Coast,3956
Bass Coast,3979
Bass Coast,3984
Bass Coast,3987
Bass Coast,3991
Bass Coast,3992
Bass Coast,3995
Bass Coast,3996
Baw Baw,3723
Baw Baw,3783
Baw Baw,3797
Baw Baw,3799
Baw Baw,3815
Baw Baw,3816
Baw Baw,3818
Baw Baw,3820
Baw Baw,3821
Baw Baw,3822
Baw Baw,3823
Baw Baw,3824
Baw Baw,3825
Baw Baw,3831
Baw Baw,3832
Baw Baw,3833
Baw Baw,3835
Baw Baw,3840
Baw Baw,3844
Baw Baw,3854
Baw Baw,3856
Baw Baw,3858
Baw Baw,3871
Baw Baw,3950
Baw Baw,3953
Baw Baw,3981
Baw Baw,3988
Bayside,3162
Bayside,3184
Bayside,3185
Bayside,3186
Bayside,3187
Bayside,3188
Bayside,3189
Bayside,3190
Bayside,3191
Bayside,3192
Bayside,3193
Bayside,3194
Bayside,3204
Benalla,3646
Benalla,3666
Benalla,3669
Benalla,3670
Benalla,3672
Benalla,3673
Benalla,3675
Benalla,3678
Benalla,3720
Benalla,3723
Benalla,3725
Benalla,3726
Benalla,3727
Benalla,3728
Benalla,3733
Boroondara,3067
Boroondara,3078
Boroondara,3079
Boroondara,3101
Boroondara,3102
Boroondara,3103
Boroondara,3104
Boroondara,3105
Boroondara,3108
Boroondara,3121
Boroondara,3122
Boroondara,3123
Boroondara,3124
Boroondara,3125
Boroondara,3126
Boroondara,3127
Boroondara,3129
Boroondara,3142
Boroondara,3144
Boroondara,3145
Boroondara,3146
Boroondara,3147
Brimbank,3012
Brimbank,3019
Brimbank,3020
Brimbank,3021
Brimbank,3022
Brimbank,3023
Brimbank,3024
Brimbank,3026
Brimbank,3029
Brimbank,3030
Brimbank,3033
Brimbank,3034
Brimbank,3036
Brimbank,3037
Brimbank,3038
Brimbank,3042
Brimbank,3043
Brimbank,3045
Brimbank,3335
Brimbank,3427
Brimbank,3428
Buloke,3387
Buloke,3391
Buloke,3392
Buloke,3393
Buloke,3395
Buloke,3478
Buloke,3480
Buloke,3482
Buloke,3483
Buloke,3491
Buloke,3507
Buloke,3518
Buloke,3520
Buloke,3525
Buloke,3527
Buloke,3530
Buloke,3531
Buloke,3533
Buloke,3537
Buloke,3540
Buloke,3542
Buloke,3544
Buloke,3546
Campaspe,2731
Campaspe,3523
Campaspe,3551
Campaspe,3557
Campaspe,3558
Campaspe,3559
Campaspe,3561
Campaspe,3562
Campaspe,3563
Campaspe,3564
Campaspe,3566
Campaspe,3567
Campaspe,3571
Campaspe,3572
Campaspe,3573
Campaspe,3575
Campaspe,3608
Campaspe,3610
Campaspe,3612
Campaspe,3616
Campaspe,3617
Campaspe,3618
Campaspe,3620
Campaspe,3621
Campaspe,3622
Campaspe,3623
Campaspe,3624
Campaspe,3629
Campaspe,3638
Cardinia,3139
Cardinia,3159
Cardinia,3160
Cardinia,3781
Cardinia,3782
Cardinia,3783
Cardinia,3791
Cardinia,3797
Cardinia,3804
Cardinia,3806
Cardinia,3807
Cardinia,3808
Cardinia,3809
Cardinia,3810
Cardinia,3812
Cardinia,3813
Cardinia,3814
Cardinia,3815
Cardinia,3816
Cardinia,3818
Cardinia,3833
Cardinia,3977
Cardinia,3978
Cardinia,3980
Cardinia,3981
Cardinia,3984
Cardinia,3987
Cardinia,3988
Casey,3156
Casey,3175
Casey,3177
Casey,3178
Casey,3802
Casey,3803
Casey,3804
Casey,3805
Casey,3806
Casey,3807
Casey,3808
Casey,3809
Casey,3910
Casey,3911
Casey,3912
Casey,3975
Casey,3976
Casey,3977
Casey,3978
Casey,3980
Casey,3981
Central Goldfields,3352
Central Goldfields,3364
Central Goldfields,3370
Central Goldfields,3371
Central Goldfields,3462
Central Goldfields,3463
Central Goldfields,3464
Central Goldfields,3465
Central Goldfields,3467
Central Goldfields,3472
Central Goldfields,3475
Central Goldfields,3477
Central Goldfields,3478
Central Goldfields,3518
Colac-Otway,3221
Colac-Otway,3231
Colac-Otway,3233
Colac-Otway,3235
Colac-Otway,3236
Colac-Otway,3237
Colac-Otway,3238
Colac-Otway,3239
Colac-Otway,3241
Colac-Otway,3242
Colac-Otway,3243
Colac-Otway,3249
Colac-Otway,3250
Colac-Otway,3251
Colac-Otway,3254
Colac-Otway,3260
Colac-Otway,3266
Colac-Otway,3269
Colac-Otway,3321
Colac-Otway,3324
Colac-Otway,3330
Corangamite,3237
Corangamite,3249
Corangamite,3251
Corangamite,3260
Corangamite,3264
Corangamite,3265
Corangamite,3266
Corangamite,3267
Corangamite,3268
Corangamite,3269
Corangamite,3270
Corangamite,3272
Corangamite,3324
Corangamite,3325
Corangamite,3330
Corangamite,3351
Corangamite,3360
Corangamite,3361
Darebin,3057
Darebin,3058
Darebin,3060
Darebin,3068
Darebin,3070
Darebin,3071
Darebin,3072
Darebin,3073
Darebin,3074
Darebin,3078
Darebin,3079
Darebin,3081
Darebin,3083
