postalCode,park_count
3377,3.0
3939,5.0
3922,6.0
3500,5.0
3233,6.0
3737,2.0
3030,4.0
3340,1.0
2646,2.0
3216,4.0
3747,2.0
3672,1.0
3350,6.0
3515,1.0
3225,6.0
3352,1.0
3058,1.0
3660,2.0
3585,3.0
3714,3.0
3221,2.0
3720,3.0
3227,2.0
3370,1.0
3707,1.0
3460,2.0
3414,1.0
3280,7.0
3691,1.0
3564,6.0
3740,5.0
3608,4.0
3797,2.0
3223,8.0
3318,1.0
3713,4.0
3284,5.0
3818,3.0
2644,1.0
3381,6.0
3300,2.0
3401,1.0
3995,2.0
3996,5.0
3644,6.0
3925,2.0
3228,3.0
3201,2.0
3196,2.0
3517,1.0
3723,3.0
3234,2.0
3283,1.0
3764,1.0
3909,9.0
3282,1.0
3551,3.0
3260,2.0
3882,2.0
3902,1.0
3809,2.0
3630,4.0
3844,4.0
3140,1.0
3915,3.0
3888,2.0
3465,2.0
2710,4.0
3272,1.0
3285,2.0
3875,2.0
3741,6.0
3269,1.0
3305,5.0
3636,1.0
3677,2.0
3639,2.0
3919,1.0
3903,2.0
2731,5.0
2647,2.0
3962,1.0
3733,1.0
3638,1.0
3799,1.0
3874,1.0
3226,3.0
3971,1.0
3629,3.0
3049,1.0
3562,1.0
3230,2.0
3467,1.0
2732,3.0
3373,1.0
3889,1.0
3231,1.0
3222,1.0
3690,4.0
3450,1.0
3175,2.0
3123,1.0
3579,3.0
3502,1.0
3199,1.0
5341,1.0
3631,1.0
3550,1.0
2714,2.0
3678,1.0
3777,2.0
3458,1.0
3942,1.0
3061,1.0
3807,2.0
3537,1.0
3516,1.0
3685,1.0
3496,1.0
3940,2.0
3805,1.0
3498,1.0
3568,1.0
3363,1.0
3109,1.0
3019,1.0
3936,4.0
3712,2.0
3825,1.0
3666,1.0
3046,2.0
3172,1.0
3236,1.0
3984,1.0
3941,3.0
3270,1.0
3978,3.0
3523,1.0
3722,3.0
3586,1.0
3669,1.0
3400,1.0
2643,1.0
3020,1.0
3212,1.0
3418,1.0
3419,1.0
3580,1.0
3950,1.0
3620,2.0
3463,2.0
3683,1.0
3584,1.0
3581,3.0
3250,1.0
3858,3.0
3700,1.0
3918,1.0
3338,1.0
3977,1.0
3336,1.0
3215,1.0
3750,2.0
3217,1.0
3029,2.0
3820,2.0
3913,1.0
3851,2.0
3910,1.0
3965,1.0
3232,1.0
3892,1.0
3444,2.0
3673,2.0
3701,1.0
3718,1.0
3931,1.0
3610,1.0
3641,1.0
3409,1.0
3594,1.0
3239,1.0
3810,1.0
3880,1.0
3224,2.0
3304,1.0
3518,1.0
3960,3.0
3424,1.0
2738,1.0
3549,2.0
3561,2.0
3850,1.0
3959,2.0
3198,1.0
3478,1.0
3380,1.0
3171,1.0
3501,1.0
3697,1.0
3505,1.0
3698,1.0
3621,1.0
3956,1.0
,
3709,1.0
3462,1.0
3912,1.0
3749,1.0
3730,5.0
3717,1.0
