streetAddress,price,bedrooms,bathrooms,parking,addressLocality,addressRegion,postalCode,property_type,nearby_schools,nbn_type,age_distribution,geo
6 Willansby Avenue,995.0,4.0,2.0,2.0,Brighton,VIC,3186,House,"['Brighton Secondary College', 'Brighton Grammar School - Primary Campus', ""St James' School"", 'Firbank Grammar School', 'Melbourne Montessori School - Brighton East Campus', 'Brighton Grammar School', ""St Finbar's School"", 'St Joan of Arc School', 'Southern Autistic School', 'Star of the Sea College', 'Xavier College - Billilla Annex Campus', 'Firbank Grammar School - Second Campus', 'Brighton Primary School']",HFC,balanced age,"{'latitude': -37.9084402, 'longitude': 145.0036184}"
3/14-16 Wright Street,640.0,4.0,2.0,1.0,Clayton,VIC,3168,Townhouse/Villa,"['Mazenod College', 'Clayton North Primary School', 'Minaret College', 'Westall Secondary College', 'Christ Our Holy Redeemer School', ""St John Vianney's School"", 'Sacred Heart School', ""St Andrew's School"", 'Southern Autistic School', ""St Peter's School"", 'Fitra Community School', 'Cheshire School', 'SEDA College (Victoria) - AFL - Clayton', 'John Monash Science School']",,20 - 39,
252 Ohallorans Road,560.0,4.0,2.0,2.0,Lara,VIC,3212,House,"[""St Anthony's School"", 'Nelson Park School', 'Lara Secondary College', 'Lara Lake Primary School', 'Matthew Flinders Girls Secondary College']",FTTP,balanced age,
203/9 Commercial Road,590.0,2.0,1.0,2.0,Melbourne,VIC,3004,Apartment,"['Wesley College', 'Christ Church Grammar School', 'Hester Hornbrook Academy - Prahran Campus', 'Melbourne Grammar School', 'South Yarra Primary School', 'SEDA College (Victoria) - Sailing - Albert Park', 'Youth2Industry College', 'Wesley College - St Kilda Road Junior Campus', 'Melbourne Girls Grammar', 'Melbourne Girls Grammar - Morris Hall Campus', 'Port Phillip Specialist School', 'Richmond High School-Gleadell Street Campus', 'Prahran High School', 'Melbourne Grammar School - Wadhurst Campus']",,balanced age,
104/141 Waverley Road,355.0,1.0,1.0,0.0,Malvern East,VIC,3145,Apartment,"['Sacre Coeur', 'Lloyd Street Primary School', 'Melbourne Montessori School - Grange Road Campus', 'The Currajong School', 'Glen Eira College', 'Port Phillip Specialist School', ""St Anthony's School"", 'De La Salle College - Holy Eucharist Campus', ""St Aloysius' School"", ""St Roch's School"", 'Southern Autistic School', ""Korowa Anglican Girls' School"", ""St Mary's School"", 'Caulfield Grammar School - Malvern Campus']",HFC,20 - 39,
169/22 Kavanagh Street,495.0,1.0,1.0,1.0,Southbank,VIC,3006,Apartment,"['Ozford College - Ozford College Campus', 'Hester Hornbrook Academy - City Campus', 'Hester Hornbrook Academy - South Melbourne', ""Stott's Colleges"", 'South Melbourne Primary School', 'Port Melbourne Secondary College', 'Melbourne Grammar School', 'Hester Hornbrook Academy', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Port Phillip Specialist School', 'Eltham College - King Street Campus', 'Melbourne Grammar School - Wadhurst Campus', 'Collingwood College']",FTTB,20 - 39,"{'latitude': -37.822919, 'longitude': 144.9658944}"
305/101 Bay Street,595.0,1.0,1.0,1.0,Port Melbourne,VIC,3207,Apartment,"['SEDA College (Victoria) - MSAC Function Room', 'Hester Hornbrook Academy - City Campus', 'Hester Hornbrook Academy - South Melbourne', 'Port Melbourne Secondary College', 'Youth2Industry College', 'Melbourne Grammar School', 'SEDA College (Victoria) - Sailing - Albert Park', 'Hester Hornbrook Academy', 'Port Phillip Specialist School', 'Port Melbourne Primary School', 'Eltham College - King Street Campus', 'Southern Autistic School', 'Galilee Regional Catholic Primary School', 'Albert Park College', 'Melbourne Grammar School - Wadhurst Campus']",FTTB,balanced age,"{'latitude': -37.8406398, 'longitude': 144.9400238}"
505/K6 High Street,440.0,1.0,1.0,1.0,Windsor,VIC,3181,Apartment,"['Wesley College', ""St Mary's College Melbourne - Presentation Campus"", 'Christ Church Grammar School', 'Windsor Primary School', 'Hester Hornbrook Academy - Prahran Campus', 'Cheder Levi Yitzchok Inc', 'Wesley College - St Kilda Road Junior Campus', 'Presentation College Windsor', 'Port Phillip Specialist School', ""St Michael's Grammar School"", ""St Mary's School - Campus 2"", 'Prahran High School', ""St Mary's College Melbourne - Edmund Rice Campus""]",FTTP,20 - 39,
9B Hawkhurst St,950.0,4.0,3.0,1.0,Yarraville,VIC,3013,House,"[""St John's School"", 'Australian Islamic Centre College', 'Annunciation School', 'Corpus Christi School', 'Yarraville Special Developmental School', 'St Leo the Great Primary School', 'Emmanuel College', ""St Margaret Mary's School"", 'Wembley Primary School', 'Rosamond Special School', ""St Augustine's School"", 'Sacred Heart School', 'Footscray High School', 'Furlong Park School For Deaf Children', ""St Monica's School""]",HFC,balanced age,
302/8-12 Garden Street,695.0,2.0,2.0,1.0,South Yarra,VIC,3141,Apartment,"['Wesley College', ""St Mary's College Melbourne - Presentation Campus"", 'Melbourne Girls College', 'Christ Church Grammar School', 'Kamaruka - Primary Campus', 'Kamaruka', 'Hester Hornbrook Academy - Prahran Campus', 'Geelong Grammar School - Toorak campus', 'Our Lady of Lourdes School', 'Melbourne Girls Grammar', 'Melbourne Girls Grammar - Morris Hall Campus', 'Port Phillip Specialist School', 'Richmond High School-Gleadell Street Campus', 'Southern Autistic School', 'Toorak Primary School', 'Prahran High School']",,20 - 39,"{'latitude': -37.8432189, 'longitude': 144.9956073}"
646 Hawthorn Road,730.0,3.0,2.0,2.0,Brighton East,VIC,3187,House,"['Melbourne Montessori School', 'Brighton Secondary College', 'Divrei Emineh', 'Melbourne Montessori School - Brighton East Campus', 'Mount Scopus Memorial College - Fink Karp Ivany Campus', 'Wesley College - Elsternwick Campus', ""St Kevin's School"", 'Leibler Yavneh College', 'Southern Autistic School', 'Yesodei HaTorah College - Brighton Campus', ""St Finbar's School"", 'Japanese School of Melbourne', 'Gardenvale Primary School']",HFC,balanced age,
4 Cochrane Street,2607.0,4.0,2.0,4.0,Echuca,VIC,3564,House,"[""St Joseph's College - Brigidine Campus"", 'Echuca College', 'Echuca Twin Rivers Primary School', 'River City Christian College', ""St Joseph's College - Kildare"", ""St Mary's School"", 'Echuca Twin Rivers Specialist School']",FTTN,balanced age,
13 Swan Street,380.0,3.0,1.0,1.0,Bairnsdale,VIC,3875,House,"['Gippsland Grammar - Bairnsdale Campus', 'Bairnsdale West Primary School', 'Bairnsdale Secondary College', 'Nagle College', 'Wild Cherry School', 'OneSchool Global Vic - Bairnsdale Centre', ""St Mary's School"", 'Bairnsdale Christian College']",FTTN,balanced age,
102/589 Elizabeth Street,520.0,1.0,1.0,0.0,Melbourne,VIC,3000,Apartment,"['Ozford College - Ozford College Campus', 'River Nile School', ""St Joseph's Flexible Learning Centre"", ""Stott's Colleges"", 'University High School', 'Eltham College - Lonsdale Street Campus', 'Ozford College', 'Haileybury College - City Girls', 'Haileybury College - City Boys', 'Simonds Catholic College', 'Haileybury Girls College - City Campus', 'North Melbourne Primary School']",FTTP,20 - 39,
3/99 Hotham Street,825.0,2.0,2.0,1.0,St Kilda East,VIC,3183,Townhouse/Villa,"['Beth Rivkah Ladies College', 'Adass Israel School - Glen Eira Road Campus', 'Ripponlea Primary School', 'Caulfield Grammar School', 'Melbourne Grammar School - Grimwade Campus', 'Mount Scopus Memorial College - Gandel Besen House Campus', 'Cheder Levi Yitzchok Inc', ""Christian Brothers' College - Balaclava Campus"", 'Yeshivah College', 'Port Phillip Specialist School', 'Southern Autistic School', ""St Mary's School"", ""St Mary's College Melbourne - Edmund Rice Campus"", 'Elwood College']",FTTP,balanced age,"{'latitude': -37.8687266, 'longitude': 144.9993911}"
5 Dawley Circuit,560.0,4.0,2.0,3.0,Werribee,VIC,3030,House,"['Walcom Ngarrwa Secondary College', 'Manor Lakes P-12 College', ""St Joseph's Catholic Primary School"", 'Christway College - Wyndham', 'Lollypop Creek Primary School', ""St Andrew's School"", 'Our Lady of the Southern Cross']",,balanced age,
33 Hockey Lane,925.0,3.0,2.0,3.0,Ascot Vale,VIC,3032,House,"['SEDA College (Victoria) - MC North Melbourne YMCA', 'Mount Alexander 7-12 College', 'SEDA College (Victoria) - Netball Ascot Vale', ""St Brendan's School"", 'Holy Rosary School', ""St Michael's Primary School"", ""St Joseph's School"", ""St Monica's Primary School"", 'St Aloysius College', 'Furlong Park School For Deaf Children', ""St Mary's School"", 'Flemington Primary School', 'SEDA College (Victoria) - Melbourne Sports Centres Parkville']",HFC,balanced age,"{'latitude': -37.7759523, 'longitude': 144.9342209}"
402/5 Joseph Road,590.0,2.0,2.0,1.0,Footscray,VIC,3011,Apartment,"[""St John's School"", 'Footscray City College', 'SEDA College (Victoria) - MC North Melbourne YMCA', 'Footscray City Primary School', 'SEDA College (Victoria) - The Huddle, North Melbourne Football Club', 'SEDA College (Victoria) - Melbourne City Talented Player Program - Kensington', 'Holy Rosary School', ""St Brendan's School"", 'Rosamond Special School', ""St Monica's School"", ""St Augustine's School"", 'Footscray High School', 'Furlong Park School For Deaf Children', 'SEDA College (Victoria) - Netball Ascot Vale', 'SEDA College (Victoria) - Cricket Australia - Footscray']",FTTP,balanced age,"{'latitude': -37.8002206, 'longitude': 144.9091638}"
51 Garden Street,290.0,1.0,1.0,0.0,South Yarra,VIC,3141,Apartment,"['Wesley College', ""St Mary's College Melbourne - Presentation Campus"", 'Melbourne Girls College', 'Geelong Grammar School - Toorak campus', 'Kamaruka - Primary Campus', 'Kamaruka', 'Hester Hornbrook Academy - Prahran Campus', 'Christ Church Grammar School', 'Our Lady of Lourdes School', 'Melbourne Girls Grammar', 'Port Phillip Specialist School', 'Richmond High School-Gleadell Street Campus', 'Southern Autistic School', 'Toorak Primary School', 'Prahran High School', 'Loreto Mandeville Hall']",,20 - 39,
